     0 ,       0.00
     1 ,      63.09
     2 ,      -6.11
     3 ,    -357.54
     4 ,     551.96
     5 ,    1018.42
     6 ,   -2215.18
     7 ,     900.11
     8 ,      70.47
     9 ,     586.76
    10 ,    -568.71
    11 ,   -1137.35
    12 ,   -1052.89
    13 ,   -2045.40
    14 ,      37.94
    15 ,    -663.82
    16 ,     -78.46
    17 ,   -1495.54
    18 ,     809.54
    19 ,    3526.93
    20 ,     852.64
    21 ,    -341.73
    22 ,     647.49
    23 ,     577.79
    24 ,     241.78
    25 ,  261880.05
    26 ,     675.10
    27 ,    3248.38
    28 ,   -1768.08
    29 ,     164.38
    30 ,   -1635.57
    31 ,    -730.65
    32 ,    1179.75
    33 ,    -832.63
    34 ,     445.35
    35 ,     846.10
    36 ,     513.95
    37 ,   -1436.82
    38 ,   -1409.63
    39 ,    -139.84
    40 ,   -1140.89
    41 ,    -882.69
    42 ,     842.96
    43 ,      76.83
    44 ,     600.28
    45 ,   -1525.10
    46 ,   -3506.98
    47 ,     439.29
    48 ,     464.10
    49 ,    -105.77
    50 ,   -2735.18
    51 ,   -1548.62
    52 ,   -1933.62
    53 ,    -784.33
    54 ,     224.09
    55 ,     656.96
    56 ,     -58.20
    57 ,   -1282.16
    58 ,     861.49
    59 ,     412.30
    60 ,    -747.95
    61 ,    1405.58
    62 ,   -1187.89
    63 ,    -169.32
    64 ,    -364.13
    65 ,    2155.83
    66 ,     450.55
    67 ,      30.39
    68 ,    1524.95
    69 ,   -1001.59
    70 ,  394911.12
    71 ,    -361.24
    72 ,   -1022.00
    73 ,    -485.80
    74 ,      90.28
    75 ,    1331.72
    76 ,    2348.63
    77 ,    1366.16
    78 ,    2139.82
    79 ,    3205.71
    80 ,      32.26
    81 ,   -1370.52
    82 ,   -2523.33
    83 ,     755.85
    84 ,     420.44
    85 ,   -1098.74
    86 ,      93.31
    87 ,    -867.83
    88 ,   -2176.81
    89 ,     917.97
    90 ,    -530.10
    91 ,   -3579.46
    92 ,     658.52
    93 ,     815.98
    94 ,    1956.04
    95 ,     -42.17
    96 ,    2508.08
    97 ,    -716.05
    98 ,    -529.45
    99 ,     -86.15
